id,user,uid,version,changeset,timestamp
325360137,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:12Z
325360138,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:12Z
325360139,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:12Z
325360140,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:13Z
325360141,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:13Z
325360142,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:13Z
325360143,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:13Z
325360144,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:13Z
325360145,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:13Z
325360146,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:13Z
325360147,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:13Z
325360148,baradam,331031,2,33560458,2015-08-25T01:14:36Z
325360149,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:13Z
325360150,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:14Z
325360151,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:14Z
325360152,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:14Z
325360153,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:14Z
325360154,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:14Z
325360155,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:14Z
325360156,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:15Z
325360157,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:15Z
325360158,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:15Z
325360159,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:15Z
325360160,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:15Z
325360161,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:15Z
325360162,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:15Z
325360163,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:16Z
325360164,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:16Z
325360165,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:16Z
325360166,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:16Z
325360167,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:16Z
325360168,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:17Z
325360169,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:17Z
325360170,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:17Z
325360171,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:17Z
325360172,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:17Z
325360173,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:18Z
325360174,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:18Z
325360175,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:18Z
325360176,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:18Z
325360177,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:18Z
325360178,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:18Z
325360179,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:18Z
325360180,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:18Z
325360181,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:19Z
325360182,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:19Z
325360183,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:19Z
325360184,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:19Z
325360185,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:19Z
325360186,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:19Z
325360187,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:19Z
325360188,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:19Z
325360189,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:19Z
325360190,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:19Z
325360191,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:20Z
325360192,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:20Z
325360193,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:20Z
325360194,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:20Z
325360195,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:20Z
325360196,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:20Z
325360197,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:20Z
325360198,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:20Z
325360199,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:20Z
325360200,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:20Z
325360201,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:21Z
325360202,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:21Z
325360203,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:21Z
325360204,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:21Z
325360205,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:21Z
325360206,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:21Z
325360207,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:21Z
325360208,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:21Z
325360209,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:21Z
325360210,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:22Z
325360211,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:22Z
325360212,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:22Z
325360213,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:22Z
325360214,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:22Z
325360215,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:22Z
325360216,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:22Z
325360218,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:22Z
325360220,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:22Z
325360221,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:23Z
325360222,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:23Z
325360223,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:23Z
325360224,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:23Z
325360226,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:24Z
325360227,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:24Z
325360228,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:24Z
325360229,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:24Z
325360230,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:24Z
325360231,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:24Z
325360232,baradam,331031,2,33562520,2015-08-25T06:28:37Z
325360233,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:24Z
325360234,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:25Z
325360235,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:25Z
325360236,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:25Z
325360237,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:26Z
325360238,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:26Z
325360239,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:26Z
325360240,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:26Z
325360241,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:26Z
325360242,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:26Z
325360243,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:26Z
325360244,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:27Z
325360245,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:27Z
325360246,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:27Z
325360247,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:27Z
325360248,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:27Z
325360249,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:27Z
325360250,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:27Z
325360251,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:27Z
325360252,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:28Z
325360253,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:28Z
325360254,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:28Z
325360255,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:28Z
325360256,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:28Z
325360257,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:28Z
325360258,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:28Z
325360259,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:28Z
325360260,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:28Z
325360261,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:29Z
325360262,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:29Z
325360263,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:29Z
325360264,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:29Z
325360265,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:29Z
325360266,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:29Z
325360267,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:29Z
325360268,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:29Z
325360269,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:29Z
325360270,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:30Z
325360271,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:30Z
325360272,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:30Z
325360273,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:30Z
325360274,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:30Z
325360275,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:30Z
325360276,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:30Z
325360277,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:30Z
325360278,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:30Z
325360279,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:30Z
325360280,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:31Z
325360281,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:31Z
325360282,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:31Z
325360283,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:31Z
325360284,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:31Z
325360285,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:31Z
325360286,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:31Z
325360287,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:31Z
325360288,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:32Z
325360289,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:32Z
325360290,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:32Z
325360291,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:32Z
325360292,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:32Z
325360293,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:33Z
325360295,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:33Z
325360296,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:33Z
325360297,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:33Z
325360298,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:33Z
325360299,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:33Z
325360300,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:33Z
325360301,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:33Z
